Part Number,General Description,Marketing Status,Package,Core,Operating Frequency (MHz),Flash Size (kB) (Prog),Dual-bank Flash,Data E2PROM (B) nom,RAM Size (kB),Timers (16-bit) typ,Other timer functions,A/D Converters 12-bit,,D/A Converters (12-bit) typ,Comparator,I/Os (High Current),Display controller,I2C typ,SPI typ,I2S typ,USART typ,UART typ,USB Type,Cryptography,Security Functions,Supply Voltage (V) min,Supply Voltage (V) max,Supply Current (µA) (@ Lowest Power) typ,Supply Current (µA) (Run Mode (per MHz)) typ,Operating Temperature (°C) min,Operating Temperature (°C) max
STM32L062C8,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB, AES",Active,UFQFPN 48 7x7x0.55 mm,Arm Cortex-M0+,32,64,No,2048,8,-,"Dual Watchdog, RTC, SysTick",1,10,-,-,37,-,2,-,-,-,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.27,87,-40,85
STM32L062K8,"Ultra-low-power Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 32 MHz CPU, USB, AES",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,32,64,No,2048,8,4,"Dual Watchdog, RTC, SysTick",1,10,1,2,"25, 27",-,1,1,-,2,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.27,87,-40,85
STM32L063C8,"Ultra-low-power Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 32 MHz CPU, USB, LCD, AES",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,32,64,No,2048,8,4,"Dual Watchdog, RTC, SysTick",1,10,1,2,37,Segment LCD,2,2,1,2,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.27,87,-40,85
STM32L063R8,"Ultra-low-power Arm Cortex-M0+ MCU with 64 Kbytes of Flash memory, 32 MHz, USB, LCD, AES",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M0+,32,64,No,2048,8,4,"Dual Watchdog, RTC, SysTick",1,16,1,2,51,Segment LCD,2,2,1,2,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.27,87,-40,105
STM32L071C8,"Ultra-low-power Arm Cortex-M0+ MCU with 64-Kbytes of Flash memory, 32 MHz CPU",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,32,64,No,3072,20,6,"Dual Watchdog, RTC, SysTick",1,13,-,2,37,-,3,2,1,4,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,105
STM32L071CB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm, WLCSP 49 3.3x3.3x0.6 P 0.4 mm",Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,"10, 13",-,2,"37, 40",-,2,2,1,4,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L071CZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192 Kbytes of Flash memory, 32 MHz CPu",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm, WLCSP 49 3.3x3.3x0.6 P 0.4 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,13,-,2,"37, 40",-,2,2,1,4,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L071K8,"Ultra-low-power Arm Cortex-M0+ MCU with 64-Kbytes of Flash memory, 32 MHz CPU",Active,UFQFPN 32 5x5x0.55 mm,Arm Cortex-M0+,32,64,No,3072,20,6,"Dual Watchdog, RTC, SysTick",1,10,-,2,23,-,2,1,-,3,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L071KB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,-,2,"23, 25",-,2,1,-,"3, 4",-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L071KZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,-,2,"23, 25",-,2,1,-,"3, 4",-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L071RB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU",Active,"LQFP 64 10x10x1.4 mm, TFBGA 64 5x5x1.2 P 0.5 mm",Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,-,2,"50, 51",-,2,2,1,4,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,105
STM32L071RZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU",Active,"LQFP 64 10x10x1.4 mm, TFBGA 64 5x5x1.2 P 0.5 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,-,2,"50, 51",-,2,2,1,4,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,105
STM32L071V8,"Ultra-low-power Arm Cortex-M0+ MCU with 64-Kbytes of Flash memory, 32 MHz CPU",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M0+,32,64,No,3072,20,6,"Dual Watchdog, RTC, SysTick",1,16,-,2,84,-,3,2,1,4,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,85
STM32L071VB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,-,2,84,-,2,2,1,4,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,105
STM32L071VZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,-,2,84,-,2,2,1,4,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,105
STM32L072CB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm, WLCSP 49 3.3x3.3x0.6 P 0.4 mm",Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,13,2,2,"37, 40",-,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,85
STM32L072CZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm, WLCSP 49 3.3x3.3x0.6 P 0.4 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,13,2,2,"37, 40",-,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L072KB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB",Active,UFQFPN 32 5x5x0.55 mm,Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,2,2,23,-,3,1,-,3,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L072KZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,2,2,"23, 25",-,3,1,-,"3, 4",-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,105
STM32L072RB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB",Active,"LQFP 64 10x10x1.4 mm, TFBGA 64 5x5x1.2 P 0.5 mm, UFBGA 64 5x5x0.6 P 0.5 mm",Arm Cortex-M0+,32,128,No,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,"50, 51",-,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L072RZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB",Active,"LQFP 64 10x10x1.4 mm, TFBGA 64 5x5x1.2 P 0.5 mm, UFBGA 64 5x5x0.6 P 0.5 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,"15, 16",2,2,"50, 51",-,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,85
STM32L072V8,"Ultra-low-power Arm Cortex-M0+ MCU with 64-Kbytes of Flash memory, 32 MHz CPU, USB",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M0+,32,64,Yes,3072,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,84,-,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,85
STM32L072VB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,84,-,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,85
STM32L072VZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,84,-,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,85
STM32L073CB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB, LCD",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,2,2,37,Segment LCD,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,85
STM32L073CZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB, LCD",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm, WLCSP 49 3.3x3.3x0.6 P 0.4 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,2,2,37,Segment LCD,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,125
STM32L073RB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB, LCD",Active,"LQFP 64 10x10x1.4 mm, TFBGA 64 5x5x1.2 P 0.5 mm",Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,"50, 51",Segment LCD,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,105
STM32L073RZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192 Kbytes of Flash memory, 32 MHz CPU, USB, LCD",Active,"LQFP 64 10x10x1.4 mm, TFBGA 64 5x5x1.2 P 0.5 mm, UFBGA 64 5x5x0.6 P 0.5 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,"50, 51",Segment LCD,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,125
STM32L073V8,"Ultra-low-power Arm Cortex-M0+ MCU with 64-Kbytes of Flash memory, 32 MHz CPU, USB, LCD",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M0+,32,64,Yes,3072,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,84,Segment LCD,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,105
STM32L073VB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB, LCD",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,84,Segment LCD,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,105
STM32L073VZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB, LCD",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,84,Segment LCD,3,2,1,4,-,USB Device,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L081CB,"Ultra-low-power ARM Cortex-M0+ MCU with 128-Kbytes Flash, 32 MHz CPU, AES",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,-,2,37,-,3,2,1,4,-,-,AES,-,1.65,3.6,0.29,87,-40,85
STM32L081CZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, AES",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,13,-,2,37,-,2,2,1,4,-,-,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
STM32L081KZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, AES",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,-,2,"23, 25",-,2,1,-,"3, 4",-,-,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
STM32L082CZ,"Ultra-low-power ARM Cortex-M0+ MCU with 192-Kbytes Flash, 32 MHz CPU, AES",Active,"UFQFPN 48 7x7x0.55 mm, WLCSP 49 3.3x3.3x0.6 P 0.4 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,13,2,2,"37, 40",-,3,2,1,4,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,93,-40,125
STM32L082KB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB, AES",Active,UFQFPN 32 5x5x0.55 mm,Arm Cortex-M0+,32,128,Yes,6144,20,-,"Dual Watchdog, RTC, SysTick",1,10,-,-,23,-,2,-,-,-,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
STM32L082KZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB, AES",Active,"LQFP 32 7x7x1.4 mm, UFQFPN 32 5x5x0.55 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,2,2,"23, 25",-,2,1,-,"3, 4",-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
STM32L083CB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB, LCD, AES",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,2,2,37,Segment LCD,3,2,1,4,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
STM32L083CZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB, LCD, AES",Active,"LQFP 48 7x7x1.4 mm, UFQFPN 48 7x7x0.55 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,10,2,2,37,Segment LCD,3,2,1,4,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
STM32L083RB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB, LCD, AES",Active,"LQFP 64 10x10x1.4 mm, TFBGA 64 5x5x1.2 P 0.5 mm",Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,"50, 51",Segment LCD,3,2,1,4,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
STM32L083RZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB, LCD, AES",Active,"LQFP 64 10x10x1.4 mm, TFBGA 64 5x5x1.2 P 0.5 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,"50, 51",Segment LCD,3,2,1,4,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,125
STM32L083V8,"Ultra-low-power Arm Cortex-M0+ MCU with 64-Kbytes of Flash memory, 32 MHz CPU, USB, LCD, AES",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M0+,32,64,No,3072,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,84,Segment LCD,3,2,1,4,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
STM32L083VB,"Ultra-low-power Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU, USB, LCD, AES",Active,LQFP 100 14x14x1.4 mm,Arm Cortex-M0+,32,128,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,84,Segment LCD,3,2,1,4,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
STM32L083VZ,"Ultra-low-power Arm Cortex-M0+ MCU with 192-Kbytes of Flash memory, 32 MHz CPU, USB, LCD, AES",Active,"LQFP 100 14x14x1.4 mm, UFBGA 100 7x7x0.6 P 0.5 mm",Arm Cortex-M0+,32,192,Yes,6144,20,6,"Dual Watchdog, RTC, SysTick",1,16,2,2,84,Segment LCD,3,2,1,4,-,USB Device,AES,"Abnormal Situation Handling, Application Lifecycle, Crypto Engine, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.65,3.6,0.29,87,-40,85
